台灣,#genre#
Discovery_動力頻道_HD,zlive://173.208.209.114:7719/b2e9e5eb3dd974008bf71cf5a1701eb8#zlive://173.208.209.114:7719/b2e9e5eb3dd974008bf71cf5a1701eb8,null
新加坡亞洲新聞,http://pic.maoq.pw/Pic/Box/6103efc0de7ea.png,zlive://173.208.209.114:7719/03e5362cddc7577174d1af8c24ff71e5#zlive://173.208.209.114:7719/03e5362cddc7577174d1af8c24ff71e5,516
Baby TV,zlive://173.208.209.114:7719/c1cfb8a5e6d0bde2e49c14d0c97e9806#zlive://173.208.209.114:7719/c1cfb8a5e6d0bde2e49c14d0c97e9806,0
FOX-NEWS,zlive://173.208.209.114:7719/6e353934b91cc30bf7a1bc3c3ef90ca0#zlive://173.208.209.114:7719/6e353934b91cc30bf7a1bc3c3ef90ca0,null
BBC EARTH,zlive://173.208.209.114:7719/508a5374bf53bb468472f09ed4206613#zlive://173.208.209.114:7719/508a5374bf53bb468472f09ed4206613,null
TVBS精采台,zlive://173.208.209.114:7719/e96763054512ba9f03d400109e1ee8e7#zlive://173.208.209.114:7719/e96763054512ba9f03d400109e1ee8e7,null
ANIMAX,zlive://173.208.209.114:7719/72c0e930e3179f0954a86faa5d8621c0#zlive://173.208.209.114:7719/72c0e930e3179f0954a86faa5d8621c0,null
Boomeran HD,zlive://173.208.209.114:7719/070902b10ac1f1ed5eafebf475aa6357#zlive://173.208.209.114:7719/070902b10ac1f1ed5eafebf475aa6357,null
客家電視台,zlive://173.208.209.114:7719/273168fc8d7b8c4768e3161fd57cab96#zlive://173.208.209.114:7719/273168fc8d7b8c4768e3161fd57cab96,null
希望,zlive://173.208.209.114:7719/bfdce5220357de076050d0713fee9d92#zlive://173.208.209.114:7719/bfdce5220357de076050d0713fee9d92,0
華藏衛視,zlive://173.208.209.114:7719/05fa6ad92be6cfc75f92c70d5e403909#zlive://173.208.209.114:7719/05fa6ad92be6cfc75f92c70d5e403909,0
華納電視,zlive://173.208.209.114:7719/9efeb3a6418020cc1cffdeddf1bd4c99#zlive://173.208.209.114:7719/9efeb3a6418020cc1cffdeddf1bd4c99,0
台視新聞台,http://pic.maoq.pw/Pic/Box/5c3bfd12967e5.jpg,zlive://173.208.209.114:7719/3d5582a4173912ad59387411b9851328#zlive://173.208.209.114:7719/3d5582a4173912ad59387411b9851328,4133
中視經典台,zlive://173.208.209.114:7719/5e6c0a19d6e3e8dfa3a6266b5efd5e3f#zlive://173.208.209.114:7719/5e6c0a19d6e3e8dfa3a6266b5efd5e3f,null
博斯網球台,zlive://173.208.209.114:7719/cfa757fdb555ed9975641148bd90aefa#zlive://173.208.209.114:7719/cfa757fdb555ed9975641148bd90aefa,null
博斯無限一台,zlive://173.208.209.114:7719/a7fbd2c0f9c4ea839b04c1b5dd19591b#zlive://173.208.209.114:7719/a7fbd2c0f9c4ea839b04c1b5dd19591b,null
歐洲體育,zlive://173.208.209.114:7719/fac6df2c35871145ef97c3e4b8af933a#zlive://173.208.209.114:7719/fac6df2c35871145ef97c3e4b8af933a,0
中天亞洲,zlive://173.208.209.114:7719/34b0eefb037416d634ebf3747507c188#zlive://173.208.209.114:7719/34b0eefb037416d634ebf3747507c188,null
博斯魅力,zlive://173.208.209.114:7719/e0d2651ca3c209f8cfed15b886f82172#zlive://173.208.209.114:7719/e0d2651ca3c209f8cfed15b886f82172,null
探索亞洲,zlive://173.208.209.114:7719/badd83a91c7949bd9c53e060c1a5bc76#zlive://173.208.209.114:7719/badd83a91c7949bd9c53e060c1a5bc76,null
華視新聞資訊台(備),zlive://173.208.209.114:7719/9fd1b22c03c1a2f0ffd9e8a277f9fa30#zlive://173.208.209.114:7719/9fd1b22c03c1a2f0ffd9e8a277f9fa30,null
華視新聞資訊台,zlive://173.208.209.114:7719/a305a74b1294ab1c6a43056cda3c913f#zlive://173.208.209.114:7719/a305a74b1294ab1c6a43056cda3c913f,0
HBO family,zlive://173.208.209.114:7719/205d6f2ce4906f6f32ebba9522d697c4#zlive://173.208.209.114:7719/205d6f2ce4906f6f32ebba9522d697c4,0
靖天國際台,zlive://173.208.209.114:7719/bad8b3665adb1c26e0e59c89196f2f69#zlive://173.208.209.114:7719/bad8b3665adb1c26e0e59c89196f2f69,null
TV5,zlive://173.208.209.114:7719/911dd1b39178a47fa02f0f11c8a66da6#zlive://173.208.209.114:7719/911dd1b39178a47fa02f0f11c8a66da6,null
中視菁采台,zlive://173.208.209.114:7719/1a53a7d260b9d2bd7bbbc663ba5c4f5a#zlive://173.208.209.114:7719/1a53a7d260b9d2bd7bbbc663ba5c4f5a,null
BBC World News,zlive://173.208.209.114:7719/c9343d24ca7dfc725eb60c920b3a2ffc#zlive://173.208.209.114:7719/c9343d24ca7dfc725eb60c920b3a2ffc,null
fashiontv_HD,zlive://173.208.209.114:7719/4a3d61d83baca6ee36be1f6d5304b80b#zlive://173.208.209.114:7719/4a3d61d83baca6ee36be1f6d5304b80b,null
人間衛視,zlive://173.208.209.114:7719/d729cb90864260bdb30ab25e245462f6#zlive://173.208.209.114:7719/d729cb90864260bdb30ab25e245462f6,null
東風,zlive://173.208.209.114:7719/da0b01b8316ba46884e58d43421e8299#zlive://173.208.209.114:7719/da0b01b8316ba46884e58d43421e8299,null
cinema world,zlive://173.208.209.114:7719/264d781501112dce659a2433b1b4c963#zlive://173.208.209.114:7719/264d781501112dce659a2433b1b4c963,0
衛視西片_HD,zlive://173.208.209.114:7719/51529ffa8a273a10d4e09c0838eb29d8#zlive://173.208.209.114:7719/51529ffa8a273a10d4e09c0838eb29d8,null
靖天資訊台,zlive://173.208.209.114:7719/6df33a8180d5198cd197c1903df122c7#zlive://173.208.209.114:7719/6df33a8180d5198cd197c1903df122c7,null
台視財經,zlive://173.208.209.114:7719/1ed95bd31b8fad3fa5c044350661e0b5#zlive://173.208.209.114:7719/1ed95bd31b8fad3fa5c044350661e0b5,null
 阿里郎電視臺,zlive://173.208.209.114:7719/6a4d76e0132fa2c2ad8881cdb3be1d90#zlive://173.208.209.114:7719/6a4d76e0132fa2c2ad8881cdb3be1d90,null
壹電影台,zlive://173.208.209.114:7719/3bce9de4abee51affc7e82affacd22ee#zlive://173.208.209.114:7719/3bce9de4abee51affc7e82affacd22ee,0
